Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,Musical_Diversity,Listening_Intensity,Creative_Engagement,Work_Integration,Cultural_Openness,BPM_Preference,Lifestyle_Cluster
18.0,Spotify,3.0,1,1,1,Latin,1,1,156.0,1,0,1,0,0,2,0,3,3,1,0,3,2,3,0,2,3.0,0.0,1.0,0.0,,7,3.0,2,1,2,156.0,2
63.0,Pandora,1.5,1,0,0,Rock,1,0,119.0,2,0,0,1,2,1,3,1,2,1,0,2,2,1,3,1,7.0,2.0,2.0,1.0,,7,1.5,0,1,1,119.0,1
18.0,Spotify,4.0,0,0,0,Video game music,0,1,132.0,0,0,3,0,0,1,1,3,0,2,2,1,0,1,1,3,7.0,7.0,10.0,2.0,No effect,5,4.0,0,0,1,132.0,3
61.0,YouTube Music,2.5,1,0,1,Jazz,1,1,84.0,2,0,0,1,2,0,3,2,3,2,0,2,2,0,0,0,9.0,7.0,3.0,3.0,Improve,8,2.5,1,1,2,84.0,2
18.0,Spotify,4.0,1,0,0,R&B,1,0,107.0,0,0,1,0,1,3,0,3,2,2,0,2,3,3,0,1,7.0,2.0,5.0,9.0,Improve,7,4.0,0,1,1,107.0,0
18.0,Spotify,5.0,1,1,1,Jazz,1,1,86.0,1,2,0,0,0,2,3,3,1,3,1,3,3,3,3,0,8.0,8.0,7.0,7.0,Improve,9,5.0,2,1,2,86.0,2
18.0,YouTube Music,3.0,1,1,0,Video game music,1,1,66.0,2,0,1,2,1,1,2,0,1,1,1,1,1,0,0,2,4.0,8.0,6.0,0.0,Improve,4,3.0,1,1,2,66.0,2
21.0,Spotify,1.0,1,0,0,K pop,1,1,95.0,0,0,1,0,0,3,1,3,0,2,0,2,2,1,0,1,5.0,3.0,5.0,3.0,Improve,5,1.0,0,1,2,95.0,0
19.0,Spotify,6.0,1,0,0,Rock,0,0,94.0,0,3,0,2,0,0,0,0,0,0,3,0,0,0,3,0,2.0,0.0,0.0,0.0,Improve,4,6.0,0,1,0,94.0,1
18.0,I do not use a streaming service.,1.0,1,0,0,R&B,1,1,155.0,1,1,1,1,2,1,1,0,1,1,0,2,2,1,2,2,2.0,2.0,5.0,1.0,Improve,5,1.0,0,1,2,155.0,4
18.0,Spotify,3.0,1,1,0,Country,1,0,,0,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,7.0,7.0,4.0,7.0,No effect,1,3.0,1,1,1,120.0,1
19.0,YouTube Music,8.0,1,0,0,EDM,1,0,125.0,1,0,3,0,0,2,1,1,1,1,0,1,1,2,1,1,1.0,0.0,0.0,1.0,Improve,3,8.0,0,1,1,125.0,1
,Spotify,3.0,1,0,0,Hip hop,1,1,,1,0,1,0,0,3,0,2,0,3,0,2,2,1,1,0,9.0,3.0,2.0,7.0,Improve,5,3.0,0,1,2,120.0,0
19.0,Spotify,2.0,1,0,0,Country,1,0,88.0,0,3,1,2,0,2,0,0,0,1,0,1,0,3,0,0,2.0,1.0,2.0,0.0,Improve,4,2.0,0,1,1,88.0,1
18.0,Spotify,4.0,1,1,0,Jazz,1,1,148.0,3,1,0,0,0,0,3,0,2,1,2,2,0,0,2,1,6.0,4.0,7.0,0.0,Improve,6,4.0,1,1,2,148.0,4
17.0,Spotify,2.0,0,0,0,Pop,1,1,,1,1,0,0,0,2,1,1,1,1,1,3,1,2,2,1,7.0,5.0,4.0,1.0,Worsen,4,2.0,0,0,2,120.0,3
16.0,Spotify,8.0,1,0,0,Hip hop,1,1,103.0,0,0,0,0,0,3,0,0,0,0,0,0,2,3,0,1,8.0,8.0,4.0,3.0,Improve,3,8.0,0,1,2,103.0,0
